Date,Close/Last,Volume,Open,High,Low
07/03/2025,$134.36,41812480,$134.36,$135.62,$132.51
07/02/2025,$132.12,59731970,$131.47,$133.60,$130.1901
07/01/2025,$130.68,91479690,$135.27,$136.32,$128.51
06/30/2025,$136.32,97305600,$137.79,$138.8752,$134.80
06/27/2025,$130.74,202598600,$144.87,$144.97,$130.54
06/26/2025,$144.25,69440540,$144.85,$148.215,$142.91
06/25/2025,$142.90,61435270,$144.49,$147.67,$141.53
06/24/2025,$143.23,58574190,$140.98,$143.66,$137.80
06/23/2025,$139.92,70501100,$138.90,$142.15,$135.96
06/20/2025,$137.30,87067040,$140.69,$142.24,$136.7418
06/18/2025,$139.96,58260230,$139.04,$140.36,$137.4901
06/17/2025,$138.20,70479100,$141.485,$141.69,$136.08
06/16/2025,$141.41,80779770,$140.03,$144.86,$139.8115
06/13/2025,$137.40,93519040,$133.815,$139.99,$133.35
06/12/2025,$135.19,56248180,$136.40,$137.0999,$134.63
06/11/2025,$136.39,97366020,$133.92,$140.00,$132.99
06/10/2025,$132.81,69308930,$131.02,$134.0699,$129.41
06/09/2025,$132.06,74785580,$127.075,$132.23,$124.80
06/06/2025,$127.72,87175140,$123.73,$128.13,$121.92
06/05/2025,$119.91,132238700,$129.27,$132.85,$118.93
06/04/2025,$130.01,97306310,$132.80,$132.95,$125.58
06/03/2025,$133.17,91297660,$133.07,$135.28,$130.10
06/02/2025,$132.04,93218740,$131.435,$134.48,$128.86
05/30/2025,$131.78,185897600,$123.53,$131.94,$122.75
05/29/2025,$122.32,63137900,$125.35,$126.47,$121.5302
05/28/2025,$123.76,64866000,$124.23,$125.65,$122.91
05/27/2025,$123.39,86455170,$126.82,$127.88,$120.88
05/23/2025,$123.31,65905840,$120.88,$125.54,$120.68
05/22/2025,$122.29,75498280,$121.95,$126.33,$121.375
05/21/2025,$120.58,80657670,$125.16,$127.11,$119.41
05/20/2025,$125.59,61265310,$127.22,$128.20,$124.65
05/19/2025,$126.33,72503920,$124.715,$127.77,$124.32
05/16/2025,$129.52,57003720,$129.23,$130.33,$126.76
05/15/2025,$128.12,69502970,$128.37,$130.1999,$125.74
05/14/2025,$130.18,96611470,$129.01,$133.49,$127.5593
05/13/2025,$128.10,147155400,$119.92,$130.60,$119.31
05/12/2025,$118.46,94257340,$120.78,$120.935,$115.01
05/09/2025,$117.30,81005270,$118.97,$119.16,$114.90
05/08/2025,$119.15,126966200,$112.28,$120.38,$112.07
05/07/2025,$110.48,95713680,$107.97,$111.85,$107.00
05/06/2025,$108.86,201193400,$112.71,$113.91,$105.3201
05/05/2025,$123.77,135961300,$123.70,$125.255,$121.36
05/02/2025,$124.28,103094300,$118.66,$124.42,$118.63
05/01/2025,$116.20,90677570,$120.04,$120.19,$116.00
04/30/2025,$118.44,109461700,$111.61,$118.78,$110.54
04/29/2025,$116.08,79709010,$113.98,$117.23,$113.24
04/28/2025,$114.65,111082900,$113.78,$114.86,$108.87
04/25/2025,$112.78,103933800,$108.05,$112.88,$106.55
04/24/2025,$107.78,103190700,$101.53,$108.00,$100.9101
04/23/2025,$100.82,112909500,$98.86,$103.76,$97.83
04/22/2025,$93.99,91185380,$93.015,$96.3399,$91.3503
04/21/2025,$90.80,83831150,$92.84,$96.475,$89.31
04/17/2025,$93.78,83991760,$94.71,$95.11,$92.27
04/16/2025,$92.71,121997600,$96.28,$97.30,$89.62
